市町村コード,ため池コード番号,名称,名称_カナ,都道府県,市区町村,住所,担当課,堤高(m),堤頂長(m),総貯水量(千m3),緯度,経度,ハザードマップ作成状況：作成の状況,ため池ＨＭ・浸水想定区域図　ＵＲＬ
372030,372030198,川池,カワイケ,香川県,坂出市,坂出市川津町2134,坂出市農林水産課,5.4,223,54.9,34.29000000,133.86500000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10248.pdf
372030,372030201,割古池,ワリコイケ,香川県,坂出市,坂出市川津町3042,坂出市農林水産課,7.3,102,60,34.28455556,133.87380556,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10248.pdf
372030,372030202,前池,マエイケ,香川県,坂出市,坂出市川津町西田1203,坂出市農林水産課,5.4,187,35,34.28700000,133.86900000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10248.pdf
372030,372030203,六地蔵池,ロクジゾウイケ,香川県,坂出市,坂出市川津町1072,坂出市農林水産課,6.9,166,89.6,34.28400000,133.86500000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10248.pdf
372030,372030204,尾池,オイケ,香川県,坂出市,坂出市川津町1285,坂出市農林水産課,5.3,590,37.5,34.29000000,133.86600000,○,https://www.city.sakaide.lg.jp/uploaded/attachment/10248.pdf
372030,372030207,７号調整池,ナナゴウチョウセイイケ,香川県,坂出市,坂出市府中町4590,坂出市農林水産課,7.2,59.5,5.16,34.28600000,133.90400000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25100.pdf
372030,372030211,宮下下池,ミヤシタシタイケ,香川県,坂出市,坂出市王越町乃生字飛地3857,坂出市農林水産課,7.3,62,1.2,34.37000000,133.91200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25085.pdf
372030,372030212,宮下池,ミヤシタイケ,香川県,坂出市,坂出市王越町乃生字東分750,坂出市農林水産課,7.1,21,1,34.36600000,133.91000000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25101.pdf
372030,372030213,野田上池,ノダカミイケ,香川県,坂出市,坂出市王越町乃生字東分703,坂出市農林水産課,5.2,54,1.2,34.36500000,133.90900000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25102.pdf
372030,372030215,浦池,ウライケ,香川県,坂出市,坂出市加茂町字井手東800,坂出市農林水産課,4,50,1.8,34.30700000,133.91800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25103.pdf
372030,372030216,東条池,トウジョウイケ,香川県,坂出市,坂出市府中町834,坂出市農林水産課,8.3,74,3.6,34.29800000,133.92500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25068.pdf
372030,372030217,宮奥池,ミヤオクイケ,香川県,坂出市,坂出市府中町字綾坂899,坂出市農林水産課,3.7,54,3.5,34.29400000,133.92500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25069.pdf
372030,372030218,角池,カドイケ,香川県,坂出市,坂出市府中町1102,坂出市農林水産課,6.4,78,22,34.29000000,133.92500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25070.pdf
372030,372030220,大谷池,オオタニイケ,香川県,坂出市,坂出市府中町字深谷777,坂出市農林水産課,13.2,53,5.2,34.29700000,133.93000000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25116.pdf
372030,372030222,長ズ池,チョウズイケ,香川県,坂出市,坂出市府中町字前谷12,坂出市農林水産課,4.2,80,1.4,34.30000000,133.93800000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25071.pdf
372030,372030225,藤原池,フジワライケ,香川県,坂出市,坂出市府中町字猫山乙6086-59地先,坂出市農林水産課,2.5,10,0.2,34.28200000,133.93500000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25072.pdf
372030,372030234,前池,マエイケ,香川県,坂出市,坂出市府中町1817,坂出市農林水産課,5,20,1,34.26800000,133.93200000,,https://www.city.sakaide.lg.jp/uploaded/attachment/25105.pdf
